level,new_taxa,timepoint,p.value,Control,Treated
phylum,Cyanobacteria,28,0.00278190270944149,14.51446375,40.65051625
phylum,Proteobacteria,21,0.00483256530952826,785.174145,576.77910375
phylum,Fusobacteria,0,0.0131175591298368,3.50261,11.48589375
phylum,Actinobacteria,21,0.0298281879897937,416.2080975,289.92528875
phylum,Patescibacteria,28,0.0336928588278955,5.3999775,13.05713
phylum,Firmicutes,28,0.038575973161187,542.832235,1093.26659
phylum,Euryarchaeota,28,0.0427746076290717,8.34292875,23.72530875
phylum,Fusobacteria,21,0.0470150210170092,1.023205,4.84466125
phylum,Synergistetes,28,0.0479270366991039,4.84952875,9.87874125
class,Alphaproteobacteria,21,0.00270494739244118,291.80087,189.263245
class,Melainabacteria,28,0.00602624520809,1.5682,14.42230125
class,Fusobacteriia,0,0.0131175591298368,3.50261,11.48589375
class,Actinobacteria,21,0.0240127138195354,364.059635,251.73124
class,Saccharimonadia,28,0.0249846418072594,4.990315,13.05713
class,Oxyphotobacteria,28,0.0315284817211609,12.53463875,26.228215
class,Methanobacteria,28,0.0333739399582496,4.91889125,16.69443
class,Thermoleophilia,8,0.0353727809129343,5.2221875,11.20025125
class,Coriobacteriia,28,0.03647474486917,5.486345,16.78510625
class,Clostridia,28,0.0378471077103058,338.42282,742.9616075
class,Bacilli,28,0.0420279964020796,178.81671,311.51413
class,Thermoleophilia,28,0.046624163121604,2.26592,10.520905
class,Fusobacteriia,21,0.0470150210170092,1.023205,4.84466125
class,KD4-96,28,0.0470359752975937,0,3.09019875
class,Synergistia,28,0.0479270366991039,4.84952875,9.87874125
order,Propionibacteriales,21,0.000448880486167305,121.21913,69.40985875
order,Gastranaerophilales,28,0.00602624520809,1.5682,14.42230125
order,Rhizobiales,21,0.00682271857434512,181.0819825,112.09289625
order,Corynebacteriales,21,0.00863868611563021,72.7117125,40.1722475
order,Chitinophagales,8,0.0102081472062872,1.4240375,9.53823375
order,Solirubrobacterales,8,0.0124407177829436,1.361875,7.63263
order,Fusobacteriales,0,0.0131175591298368,3.50261,11.48589375
order,Aeromonadales,28,0.0137108131668075,20.297445,35.320465
order,Chloroplast,28,0.0245675985917016,11.12146375,22.92599
order,Saccharimonadales,28,0.0249846418072594,4.990315,13.05713
order,Methylococcales,8,0.0280808042178661,0,0.73480875
order,Acetobacterales,28,0.0285249158226031,4.167155,0.419355
order,DTU014,8,0.0285630023283274,0,1.027425
order,Bacteroidales,21,0.0287836411746226,170.9220375,318.46573375
order,Bifidobacteriales,28,0.0323184435889045,6.0471475,14.4377075
order,Methanobacteriales,28,0.0333739399582496,4.91889125,16.69443
order,Xanthomonadales,0,0.0361285090335765,8.65510125,19.09691875
order,Coriobacteriales,28,0.03647474486917,5.486345,16.78510625
order,Clostridiales,28,0.0381969330640576,338.15172,742.299865
order,uncultured bacterium,28,0.0435825247322227,0.347929166666667,1.13286104166667
order,Unknown Order,21,0.0461443265237115,2.89845,0.5451375
order,Fusobacteriales,21,0.0470150210170092,1.023205,4.84466125
order,Synergistales,28,0.0479270366991039,4.84952875,9.87874125
order,Diplorickettsiales,21,0.0479920843722459,1.948175,0.6067625
order,Anaeroplasmatales,21,0.048676797732771,0.2280875,1.29555
family,Betula pendula (European white birch),28,0.000418464033590258,0.41042875,3.209625
family,Carya cathayensis,28,0.00130026299566963,1.895975,6.2123375
family,Paenibacillaceae,8,0.00342780673901056,0.46332625,2.81222375
family,Nocardiaceae,0,0.00384313393453263,1.29388875,6.1885325
family,Porphyromonadaceae,28,0.00468094108010984,0.1999875,7.42985625
family,Xanthobacteraceae,21,0.0050856715385002,25.65006,14.00263125
family,Orobanche pancicii,28,0.00653923413756698,0.09324,1.15051625
family,Chitinophagaceae,8,0.0102081472062872,1.4240375,9.53823375
family,Fusobacteriaceae,0,0.0122058346928338,3.0335975,10.88016875
family,Peptostreptococcaceae,28,0.0122385381524781,22.208695,59.71817125
family,Beijerinckiaceae,21,0.0123819654127505,95.2031325,55.9665425
family,uncultured bacterium,28,0.0125213391290224,0.540127430555556,1.47452604166667
family,Tectona grandis,0,0.0137894087363864,0.3137,1.5418625
family,Clostridiales vadinBB60 group,28,0.0159485272632766,4.3405575,18.80237
family,Mycobacteriaceae,28,0.0174367674972087,1.64435375,10.09927125
family,Succinivibrionaceae,28,0.0177835739064146,8.66315375,27.92293
family,Victivallaceae,21,0.019495573712214,0.901465,4.22396
family,Dermabacteraceae,0,0.020898659923212,0.415925,3.357975
family,Lactobacillaceae,28,0.0227329326835047,14.41111375,28.99269375
