	chao1	ace	fisher_alpha	observed_otus	observed_species	shannon	simpson	equitability	simpson_e
5353	1395.13592233	1373.39280163	589.02960139	998.0	998.0	9.60163457776	0.99840918459	0.963739315618	0.629868180602
6262	1723.2231405	1724.09814825	729.129475578	1157.0	1157.0	9.80053718715	0.998590185045	0.96308671674	0.613062183909
6868	1539.70588235	1521.40766176	660.834440249	1178.0	1178.0	9.85872454609	0.998695858658	0.966340412676	0.650923644179
5757	1510.91631799	1488.97183129	633.532258804	1141.0	1141.0	9.80376719918	0.998642487934	0.965309866564	0.645610607508
8686	1410.03	1340.06743474	586.222292821	1065.0	1065.0	9.73064513948	0.998591289856	0.967584337343	0.666543887651
9595	1082.06535948	1030.24941281	440.37369771	877.0	877.0	9.46074838426	0.998315338357	0.967709629152	0.676842652707
8282	1132.484375	1111.50557502	495.142450855	902.0	902.0	9.50489344878	0.998366430977	0.968209158082	0.678665813502
5959	1713.44303797	1649.18803041	708.151958125	1210.0	1210.0	9.88606875432	0.998706305124	0.965361800047	0.638826276805
7474	1441.9561753	1453.48992642	625.412505828	1103.0	1103.0	9.75453084004	0.998588284832	0.965105505015	0.64221050706
8787	1102.55395683	1156.39417252	529.427504065	958.0	958.0	9.58602324283	0.998426886751	0.967905654787	0.663551296697
4545	1199.59469697	1239.09267271	549.956577827	1017.0	1017.0	9.65806235897	0.998497755973	0.966762948005	0.654543570568
8585	1352.41764706	1296.57015016	544.566560524	897.0	897.0	9.43745444904	0.998206669149	0.962125488557	0.621651716628
6767	1099.21568627	1133.05691196	531.285427927	928.0	928.0	9.55619133568	0.998415545912	0.969386260778	0.680099357101
6060	1782.14457831	1713.12928403	733.285411247	1267.0	1267.0	9.9522085464	0.998767800226	0.965558809874	0.640534107423
7676	1732.09051724	1652.14904867	699.999057568	1222.0	1222.0	9.89695131649	0.998719022403	0.965082763944	0.638832878628
5252	1634.37614679	1557.13429975	669.424515175	1148.0	1148.0	9.81188909146	0.998639720505	0.965270923014	0.640368499804
4848	1449.43612335	1439.26061909	621.6155349	1071.0	1071.0	9.71209816129	0.998536114235	0.964962382874	0.637827649294
9696	1437.45283019	1483.57572544	666.14199922	1073.0	1073.0	9.71994667288	0.998533458196	0.965483987734	0.635485771119
5656	1370.78714859	1373.00968837	606.628921354	1104.0	1104.0	9.77408151945	0.998612405189	0.966914762015	0.652782133741
6464	1196.03243243	1220.29738604	546.928825546	819.0	819.0	9.33345649196	0.998071843136	0.964427245009	0.633247866764
6565	1083.03861004	1125.02846054	519.570126209	919.0	919.0	9.53331162902	0.998385932131	0.968446575237	0.674159558359
5858	1540.80876494	1535.57414431	661.541989324	1163.0	1163.0	9.8325789185	0.998662037066	0.965527392741	0.642652502751
5050	1519.77380952	1519.16122937	658.374802687	1140.0	1140.0	9.80571888313	0.998637205953	0.96562230636	0.643672449587
8181	2040.98165138	1866.41272012	755.52637656	1323.0	1323.0	9.98926827088	0.998786017663	0.9633226766	0.622626767649
8888	1092.39698492	1098.24905894	477.020246355	873.0	873.0	9.43060024971	0.998248438775	0.965277049696	0.653973926879
9191	1639.09251101	1566.44190736	678.208725779	1172.0	1172.0	9.84956020163	0.998683719421	0.966139785605	0.64822222117
4747	1552.96837945	1556.49394286	662.35971706	1166.0	1166.0	9.82554366712	0.998644112262	0.964484548734	0.632525030828
6666	1464.34574468	1378.1002933	577.725781816	1042.0	1042.0	9.67103122294	0.998514601218	0.964677964118	0.646084344603
9292	1459.91346154	1396.80044827	610.495105408	1082.0	1082.0	9.74394704575	0.998590694626	0.966710824484	0.655794290461
8383	1036.56422018	1051.51193605	493.747213546	865.0	865.0	9.45922927583	0.998308170218	0.969525410723	0.683324868821
5151	1444.82857143	1424.82774142	618.759427677	1154.0	1154.0	9.84275985257	0.998695489207	0.967592036827	0.66427286872
6363	1055.31640625	1106.03563969	508.197051223	895.0	895.0	9.48255306701	0.998301487545	0.967040664191	0.657821750034
8484	1423.8	1424.75190212	636.938661831	1103.0	1103.0	9.777674008	0.998622889711	0.967395271604	0.65834836985
4949	1579.56617647	1585.14393485	680.282571474	1218.0	1218.0	9.89960280461	0.998725723189	0.965786789906	0.644301187147
7979	1505.6	1424.28351593	605.018683903	986.0	986.0	9.58343652277	0.99838547453	0.963600687956	0.6281714361
7373	1316.14339623	1312.30038611	638.687686622	1075.0	1075.0	9.7920458892	0.998674435991	0.972386125568	0.701763590151
7272	1525.75686275	1578.54508701	688.752262858	1088.0	1088.0	9.72629304208	0.998524074508	0.964196170548	0.622739868841
5555	1432.98367347	1443.15940261	614.901256157	1104.0	1104.0	9.74842139462	0.99857127037	0.964376298075	0.633987762431
7575	1513.37354086	1503.65103638	655.599421856	1171.0	1171.0	9.85140613365	0.998686605413	0.966437594969	0.650201373762
8989	1426.00502513	1367.99234482	585.999347772	1031.0	1031.0	9.66177936421	0.998501219727	0.965229249525	0.647147631946
6969	1655.00403226	1656.38312686	702.81791129	1162.0	1162.0	9.81110648659	0.998613607026	0.963536290785	0.620736842891
4646	1394.06976744	1302.18269892	548.294891979	982.0	982.0	9.58253199762	0.998408583386	0.964078236211	0.639888970563
7171	447.06122449	408.72631235	168.27301878	354.0	354.0	8.15933426152	0.995908002681	0.963594042408	0.690337391979
8080	1342.92073171	1294.23518636	563.741857531	849.0	849.0	9.37527075975	0.998124976358	0.963580288159	0.628182106603
9393	973.481481481	984.390266273	426.213590585	823.0	823.0	9.35338509807	0.998153176898	0.965785015663	0.657922693079
7878	1510.42105263	1407.37927902	594.812434181	966.0	966.0	9.54907855858	0.99834455501	0.963008745242	0.625328351949
9090	1519.12017167	1515.60357291	660.23846101	1068.0	1068.0	9.70963592849	0.998534746869	0.965105793319	0.639022410865
9494	1190.60515021	1216.65245317	516.182431824	977.0	977.0	9.58042716588	0.998413811835	0.964581153864	0.645283753855
7777	1292.66666667	1286.20908227	544.198681344	996.0	996.0	9.6008954712	0.998425611272	0.963945141445	0.637718021314
5454	1555.19313305	1550.31907819	650.107847974	1108.0	1108.0	9.73660104555	0.998538207317	0.962710032122	0.617411132352
7070	336.0	336.0	148.14603881	336.0	336.0	8.21208829452	0.996185503943	0.978524510075	0.780231629999
6161	320.0	320.0	143.019358406	320.0	320.0	8.13017591125	0.995909433846	0.9769582023	0.763952930387
